mal_id,title_default,title_japanese,score,rank,popularity,season,year,demographics,genres
1603,Super Robot Taisen OG: Divine Wars,スーパーロボット大戦OG -ディバイン・ウォーズ-,6.77,5287.0,7018,fall,2006.0,"Action, Sci-Fi",
1604,Katekyou Hitman Reborn!,家庭教師ヒットマンREBORN!,8.12,478.0,399,fall,2006.0,"Action, Comedy",Shounen
1606,Kekkaishi,結界師,7.59,1562.0,1980,fall,2006.0,"Action, Adventure, Supernatural",Shounen
1607,Venus Versus Virus,ヴィーナス ヴァーサス ヴァイアラス,6.32,7787.0,4113,winter,2007.0,"Drama, Romance, Supernatural",
1655,Nerima Daikon Brothers,練馬大根ブラザーズ,7.26,2960.0,6719,winter,2006.0,Comedy,
1688,Nanatsu-iro★Drops,ななついろ★ドロップス,6.99,4277.0,4651,summer,2007.0,Romance,
1690,Bokura no,ぼくらの,7.6,1533.0,1265,spring,2007.0,"Action, Drama, Sci-Fi, Suspense",Seinen
1691,Kaze no Stigma,風のスティグマ,7.16,3472.0,505,spring,2007.0,"Action, Fantasy, Romance",
1693,Reideen,ライディーン,6.51,6778.0,6708,winter,2007.0,"Action, Sci-Fi",
1694,iDOLM@STER Xenoglossia,アイドルマスター XENOGLOSSIA（ゼノグラシア）,6.46,7064.0,4624,spring,2007.0,"Action, Comedy, Sci-Fi",
1695,Les Misérables: Shoujo Cosette,レ・ミゼラブル 少女コゼット,7.9,778.0,4113,winter,2007.0,Drama,
1698,Nodame Cantabile,のだめカンタービレ,8.26,306.0,775,winter,2007.0,"Comedy, Romance",Josei
1699,Romeo x Juliet,ロミオ×ジュリエット,7.58,1578.0,1320,spring,2007.0,"Drama, Fantasy, Romance",
1703,Tokyo Tribe 2,TOKYO TRIBE 2,6.63,6088.0,6008,fall,2006.0,"Action, Drama",
1721,Hitohira,ひとひら,6.72,5554.0,4894,spring,2007.0,"Drama, Romance",Seinen
1722,Nagasarete Airantou,ながされて藍蘭島,7.21,3181.0,2078,spring,2007.0,"Comedy, Fantasy, Romance, Ecchi",Shounen
1724,Saint October,セイントオクトーバー,6.47,6975.0,7346,winter,2007.0,"Adventure, Fantasy",
1726,Devil May Cry,デビル メイ クライ,6.93,4517.0,789,summer,2007.0,"Action, Fantasy",
1727,Shinkyoku Soukai Polyphonica,神曲奏界ポリフォニカ,6.78,5246.0,4045,spring,2007.0,"Drama, Fantasy, Romance",
1738,Muteki Kanban Musume,無敵看板娘,7.07,3888.0,4854,summer,2006.0,"Action, Comedy",Shounen
1739,Shibawanko no Wa no Kokoro,しばわんこの和のこころ,,13601.0,14539,spring,2006.0,,Kids
1740,Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,内閣権力犯罪強制取締官・財前丈太郎,5.13,12559.0,11184,summer,2006.0,"Action, Drama",Seinen
1771,Ring ni Kakero 1: Nichibei Kessen-hen,リングにかけろ1 日米決戦編,6.49,6872.0,10398,spring,2006.0,Sports,Shounen
1807,Prism Ark,プリズム・アーク,6.4,7409.0,4672,fall,2007.0,"Action, Comedy, Fantasy, Romance",
1808,Kamichama Karin,かみちゃまかりん,7.19,3277.0,3084,spring,2007.0,"Comedy, Fantasy, Romance",Shoujo
1810,Kyoushirou to Towa no Sora,京四郎と永遠（とわ）の空,6.39,7457.0,3437,winter,2007.0,"Drama, Fantasy, Romance",Shounen
1812,Hanoka,HANOKA～葉ノ香～,3.37,13375.0,8465,summer,2006.0,Sci-Fi,
1818,Claymore,クレイモア,7.73,1170.0,309,spring,2007.0,"Action, Adventure, Fantasy",Shounen
1826,Deltora Quest,デルトラクエスト,7.08,3849.0,4132,winter,2007.0,"Adventure, Fantasy",Kids
1827,Seirei no Moribito,精霊の守り人,8.13,470.0,1121,spring,2007.0,"Action, Adventure, Fantasy",
1835,Ryuusei no Rockman,流星のロックマン,7.09,3819.0,5698,fall,2006.0,"Action, Sci-Fi",
1836,Shuffle! Memories,シャッフル！メモリーズ,6.52,6673.0,2997,winter,2007.0,"Comedy, Drama, Fantasy, Romance, Ecchi",
1840,Zero no Tsukaima: Futatsuki no Kishi,ゼロの使い魔 ～双月の騎士～,7.39,2325.0,447,summer,2007.0,"Action, Adventure, Comedy, Fantasy, Romance, Ecchi",
1842,Major S3,メジャー (第3シリーズ),8.22,353.0,2659,winter,2007.0,Sports,Shounen
1852,Hidamari Sketch,ひだまりスケッチ,7.46,2028.0,2424,winter,2007.0,Slice of Life,
1858,Gakuen Utopia Manabi Straight!,がくえんゆーとぴあ まなびストレート！,7.26,2926.0,4039,winter,2007.0,"Comedy, Slice of Life",
1860,Tokyo Majin Gakuen Kenpuuchou: Tou,東京魔人學園剣風帖　龖（トウ）,7.04,4025.0,2196,winter,2007.0,"Action, Drama, Horror, Supernatural",
1863,Silk Road Shounen Yuuto,シルクロード少年 ユート,,13806.0,14853,fall,2006.0,"Adventure, Fantasy",
1864,Koisuru Tenshi Angelique: Kagayaki no Ashita,恋する天使アンジェリーク ～かがやきの明日～,6.89,4695.0,6166,winter,2007.0,"Drama, Fantasy, Romance",Shoujo
1865,Getsumen to Heiki Mina,月面兎兵器ミーナ,6.25,8247.0,6854,winter,2007.0,"Action, Comedy, Sci-Fi, Ecchi",
1868,Giniro no Olynsis: Tokito,銀色のオリンシス TOKITO,6.2,8476.0,6910,fall,2006.0,"Adventure, Drama, Romance",
1872,Saru Getchu: On Air,サルゲッチュ ～オンエアー～,6.01,9463.0,12669,spring,2006.0,"Adventure, Comedy, Fantasy, Romance",Kids
1878,Kaze no Shoujo Emily,風の少女エミリー,7.35,2476.0,7115,spring,2007.0,Drama,
1881,Sasami: Mahou Shoujo Club,砂沙美 -魔法少女クラブ-,6.57,6417.0,6865,spring,2006.0,Fantasy,
1882,Sasami: Mahou Shoujo Club 2,砂沙美☆魔法少女クラブ シーズン2,6.66,5922.0,8657,fall,2006.0,Fantasy,
1884,Himesama Goyoujin,姫様ご用心,6.32,7815.0,10067,spring,2006.0,Comedy,
1885,Master of Epic: The Animation Age,マスター オブ エピック The Animation Age,5.84,10245.0,11190,winter,2007.0,"Comedy, Fantasy",
1886,Fushigiboshi no☆Futagohime Gyu!,ふしぎ星の☆ふたご姫,7.13,3629.0,7673,spring,2006.0,"Comedy, Fantasy",
1887,Lucky☆Star,らき☆すた,7.75,1113.0,328,spring,2007.0,Comedy,
1889,Higurashi no Naku Koro ni Kai,ひぐらしのなく頃に解,8.17,427.0,477,summer,2007.0,"Horror, Mystery, Supernatural, Suspense",
1912,Marginal Prince: Gekkeiju no Ouji-tachi,マージナルプリンス -月桂樹の王子達-,5.8,10437.0,5594,fall,2006.0,Boys Love,
1914,Saiunkoku Monogatari 2nd Season,彩雲国物語 第2シリーズ,8.01,625.0,3520,spring,2007.0,"Adventure, Fantasy, Romance",Shoujo
1915,Mahou Shoujo Lyrical Nanoha StrikerS,魔法少女リリカルなのはStrikerS,7.61,1502.0,3053,spring,2007.0,"Action, Comedy, Drama, Fantasy",
1932,Yes! Precure 5,Yes! プリキュア5,7.18,3359.0,5093,winter,2007.0,"Action, Fantasy",
1941,Moonlight Mile 1st Season: Lift Off,ムーンライトマイル 1stシーズン -Lift off-,7.12,3656.0,6158,spring,2007.0,"Adventure, Drama, Sci-Fi",
1942,Rocket Girls,ロケットガール,6.91,4615.0,6664,winter,2007.0,"Adventure, Sci-Fi",
1956,Ikkitousen: Dragon Destiny,一騎当千 Dragon Destiny,6.73,5539.0,2402,winter,2007.0,"Action, Ecchi",Seinen
1965,Sola,sola,7.16,3438.0,2107,spring,2007.0,"Drama, Romance, Supernatural",
1988,Himawari!!,ひまわりっ！！,6.44,7162.0,6120,winter,2007.0,"Comedy, Romance",
1991,Juusou Kikou Dancougar Nova,獣装機攻ダンクーガノヴァ,5.96,9677.0,7846,winter,2007.0,"Action, Sci-Fi",
2001,Tengen Toppa Gurren Lagann,天元突破グレンラガン,8.63,83.0,65,spring,2007.0,"Action, Adventure, Award Winning, Sci-Fi",
2002,Heroic Age,ヒロイック・エイジ,7.5,1875.0,1962,spring,2007.0,"Action, Sci-Fi",
2024,Yoshimune,吉宗,5.83,10307.0,14101,spring,2006.0,Comedy,
2025,Darker than Black: Kuro no Keiyakusha,Darker than BLACK -黒の契約者-,8.05,576.0,173,spring,2007.0,"Action, Mystery, Sci-Fi",
2026,Hayate no Gotoku!,ハヤテのごとく！,7.51,1851.0,1092,spring,2007.0,"Action, Comedy, Romance",Shounen
2030,El Cazador de la Bruja,エル・カザド,7.2,3231.0,3012,spring,2007.0,"Adventure, Drama, Mystery",
2031,Shining Tears X Wind,シャイニング・ティアーズ・クロス・ウィンド,6.46,7037.0,3827,spring,2007.0,"Action, Adventure, Fantasy",
2032,Wellber no Monogatari: Sisters of Wellber,ウエルベールの物語 Sisters of Wellber,6.59,6327.0,6543,spring,2007.0,"Action, Adventure, Comedy, Drama, Fantasy",
2034,Lovely★Complex,ラブ★コン,8.03,601.0,373,spring,2007.0,"Comedy, Romance",Shoujo
2035,Eikoku Koi Monogatari Emma: Molders-hen,英國戀物語エマ ～メルダース編～,7.8,991.0,4261,spring,2007.0,"Drama, Romance",Seinen
2104,Seto no Hanayome,瀬戸の花嫁,7.66,1344.0,739,spring,2007.0,"Comedy, Fantasy, Romance",Shounen
2105,Touka Gettan,桃華月憚,6.48,6948.0,4916,spring,2007.0,"Drama, Fantasy, Romance, Ecchi",
2106,Kiss Dum: Engage Planet,キスダム -ENGAGE planet-,6.51,6757.0,6187,spring,2007.0,Sci-Fi,
2112,Over Drive,オーバードライヴ,7.52,1822.0,3377,spring,2007.0,Sports,Shounen
2129,True Tears,true tears,7.27,2885.0,1142,winter,2008.0,"Drama, Romance",
2130,Kaibutsu Oujo,怪物王女,6.96,4400.0,2427,spring,2007.0,"Action, Comedy, Horror, Supernatural",Shounen
2142,Blue Dragon,ブルー・ドラゴン,6.4,7413.0,3014,spring,2007.0,"Adventure, Comedy, Fantasy",
2152,Oh! Edo Rocket,大江戸ロケット,7.18,3335.0,5866,spring,2007.0,"Comedy, Drama, Fantasy, Sci-Fi",
2153,Saint Beast: Kouin Jojishi Tenshi Tan,セイント・ビースト～光陰叙事詩天使譚～,6.3,7963.0,7459,spring,2007.0,Fantasy,
2155,Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,この青空に約束を― ～ようこそつぐみ寮へ～,6.14,8755.0,4771,spring,2007.0,Romance,
2156,Bakugan Battle Brawlers,爆丸バトルブローラーズ,6.46,7044.0,1991,spring,2007.0,"Action, Fantasy",
2157,Koutetsushin Jeeg,鋼鉄神ジーグ,6.87,4823.0,7440,spring,2007.0,Sci-Fi,
2158,Terra e... (TV),地球へ…,7.86,875.0,2834,spring,2007.0,"Action, Drama, Sci-Fi",Shounen
2159,Ookiku Furikabutte,おおきく振りかぶって,7.87,848.0,2101,spring,2007.0,Sports,Seinen
2161,Skull Man,スカルマン SKULL MAN,6.59,6275.0,3947,spring,2007.0,"Action, Mystery, Supernatural",
2162,Koutetsu Sangokushi,鋼鉄三国志,6.28,8052.0,6767,spring,2007.0,Adventure,
2164,Dennou Coil,電脳コイル,8.03,597.0,1577,spring,2007.0,"Adventure, Award Winning, Drama, Mystery, Sci-Fi",
2165,Gegege no Kitarou (2007),ゲゲゲの鬼太郎 (2007),6.93,4518.0,7811,spring,2007.0,"Comedy, Fantasy, Horror",
2166,Doujin Work,ドージンワーク,6.75,5402.0,4231,summer,2007.0,"Comedy, Slice of Life",
2167,Clannad,CLANNAD,7.99,651.0,89,fall,2007.0,"Drama, Romance, Supernatural",
2214,Black Jack 21,ブラック・ジャック21,7.53,1754.0,5692,spring,2006.0,"Action, Drama",Shounen
2215,Kishin Taisen Gigantic Formula,機神大戦 ギガンティック・フォーミュラ,6.77,5316.0,7440,spring,2007.0,Sci-Fi,
2216,Shigurui,シグルイ,7.36,2433.0,1798,summer,2007.0,"Action, Drama",Seinen
2232,Funny Pets,ファニーペッツ,4.88,12872.0,12502,winter,2006.0,Comedy,
2244,Rakugo Tennyo Oyui,落語天女おゆい,5.78,10574.0,10520,winter,2006.0,Comedy,
2246,Mononoke,モノノ怪,8.42,177.0,728,summer,2007.0,"Horror, Mystery, Supernatural, Suspense",
2251,Baccano!,バッカーノ！,8.36,215.0,190,summer,2007.0,"Action, Mystery, Supernatural",
2367,Moetan,もえたん,6.39,7450.0,4186,summer,2007.0,"Comedy, Ecchi",
2369,Rental Magica,レンタルマギカ,6.99,4294.0,2835,fall,2007.0,"Action, Fantasy, Mystery",
2403,Kodomo no Jikan (TV),こどものじかん,6.69,5730.0,1963,fall,2007.0,"Comedy, Drama, Ecchi",
2404,Zombie-Loan,ZOMBIE-LOAN ゾンビローン,6.81,5104.0,1663,summer,2007.0,"Action, Horror, Supernatural",Shounen
2476,School Days,スクールデイズ,5.52,11567.0,314,summer,2007.0,"Drama, Romance",
2494,Goshuushou-sama Ninomiya-kun,ご愁傷さま二ノ宮くん,6.64,6029.0,2147,fall,2007.0,"Comedy, Fantasy, Ecchi",
2508,Genshiken 2,げんしけん2,7.74,1140.0,2375,fall,2007.0,Slice of Life,Seinen
2518,Masuda Kousuke Gekijou Gag Manga Biyori 2,増田こうすけ劇場 ギャグマンガ日和2,7.12,3654.0,9784,summer,2006.0,Comedy,
2552,Tetsuko no Tabi,鉄子の旅,6.24,8291.0,10450,summer,2007.0,"Comedy, Slice of Life",Seinen
2562,Shion no Ou,しおんの王 - The Flowers of Hard Blood,7.5,1880.0,3990,fall,2007.0,"Drama, Mystery, Suspense",
2564,Code-E,CODE-E,6.39,7430.0,5082,summer,2007.0,"Comedy, Romance, Sci-Fi",
2581,Kidou Senshi Gundam 00,機動戦士ガンダム00,8.1,500.0,1116,fall,2007.0,"Action, Drama, Sci-Fi",
