mal_id,title_default,title_japanese,score,rank,popularity,season,year,genres
2542,Lady Georgie,レディジョージィ,7.17,3406.0,6241,spring,1983.0,"Drama, Romance"
2544,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,家族ロビンソン漂流記ふしぎな島のフローネ,7.31,2680.0,7360,winter,1981.0,"Adventure, Drama, Slice of Life"
2545,Huckleberry no Bouken,ハックルベリィの冒険,6.19,8554.0,10890,winter,1976.0,"Adventure, Drama"
2546,Alps Monogatari: Watashi no Annette,アルプス物語　わたしのアンネット,6.76,5362.0,8805,winter,1983.0,"Drama, Slice of Life"
2547,Princess Sara,小公女[プリンセス]セーラ,7.68,1301.0,4792,winter,1985.0,Drama
2548,Ai no Wakakusa Monogatari,愛の若草物語,7.37,2390.0,6597,winter,1987.0,"Drama, Slice of Life"
2549,Perrine Monogatari,ペリーヌ物語,7.54,1727.0,7769,winter,1978.0,Drama
2553,Flanders no Inu,フランダースの犬,7.36,2452.0,7053,winter,1975.0,"Drama, Slice of Life"
2554,Ai Shoujo Pollyanna Story,愛少女ポリアンナ物語,6.93,4505.0,7904,winter,1986.0,"Drama, Slice of Life"
2555,Shoukoushi Cedie,小公子セディ,7.31,2650.0,8632,winter,1988.0,"Drama, Slice of Life"
2561,Captain Future,キャプテンフューチャー,7.11,3703.0,8325,fall,1978.0,"Action, Adventure, Sci-Fi"
2565,Jungle Taitei: Susume Leo!,ジャングル大帝・進めレオ,6.39,7439.0,9912,fall,1966.0,Adventure
2567,Pinocchio yori Piccolino no Bouken,ピノキオより ピコリーノの冒険,6.3,7957.0,10712,spring,1976.0,Adventure
2568,Kojika Monogatari,子鹿物語 THE YEARLING,6.45,7091.0,12731,fall,1983.0,Drama
2571,Mitsubachi Maya no Bouken,みつばちマーヤの冒険,6.55,6503.0,6370,spring,1975.0,"Adventure, Comedy"
2572,Fushigi no Kuni no Alice,ふしぎの国のアリス,6.42,7274.0,9620,fall,1983.0,"Adventure, Fantasy"
2573,Minami no Niji no Lucy,南の虹のルーシー,6.95,4452.0,10104,winter,1982.0,"Adventure, Slice of Life"
2574,Kashi no Ki Mokku,樫の木モック,5.96,9705.0,10649,winter,1972.0,"Adventure, Fantasy"
2575,Don Chuck Monogatari,ドンチャック物語,5.94,9788.0,12204,spring,1975.0,"Adventure, Slice of Life"
2576,Araiguma Rascal,あらいぐまラスカル,6.74,5452.0,9502,winter,1977.0,"Drama, Slice of Life"
2577,Tom Sawyer no Bouken,トム・ソーヤーの冒険,7.3,2730.0,6592,winter,1980.0,"Adventure, Drama, Slice of Life"
2578,TaoTao Ehonkan Sekai Doubutsu Banashi,タオタオ絵本館,6.71,5591.0,12848,fall,1983.0,"Adventure, Comedy, Fantasy"
2579,Anime 80-nichikan Sekai Isshuu,アニメ80日間世界一周,6.81,5068.0,8081,winter,1984.0,"Adventure, Romance"
2582,Soukou Kihei Votoms,装甲騎兵ボトムズ,7.67,1309.0,4431,spring,1983.0,"Action, Drama, Sci-Fi"
2598,Juusenki L-Gaim,重戦機エルガイム,6.74,5471.0,7346,winter,1984.0,"Action, Adventure, Drama, Sci-Fi"
2612,Spoon Obasan,スプーンおばさん,6.65,5931.0,10556,spring,1983.0,
2618,Takarajima,宝島,7.91,759.0,4829,fall,1978.0,"Adventure, Drama, Mystery"
2686,Tetsujin 28-gou,鉄人２８号,6.33,7769.0,9270,fall,1963.0,"Adventure, Sci-Fi"
2687,Gokuu no Daibouken,悟空の大冒険,6.33,7740.0,12525,winter,1967.0,"Comedy, Fantasy"
2688,Akai Koudan Zillion,赤い光弾ジリオン,6.57,6376.0,7907,spring,1987.0,"Action, Adventure, Sci-Fi"
2718,Umi no Triton,海のトリトン,6.23,8302.0,10571,spring,1972.0,"Adventure, Fantasy"
2747,Tetsuwan Atom,鉄腕アトム,7.07,3882.0,5773,winter,1963.0,"Action, Adventure, Drama, Sci-Fi"
2748,Dash! Kappei,ダッシュ勝平,7.15,3533.0,8082,fall,1981.0,"Comedy, Sports, Ecchi"
2762,Igano Kabamaru,伊賀野カバ丸,7.79,1027.0,6150,fall,1983.0,"Action, Adventure, Comedy, Romance"
2769,Galactic Patrol Lensman,GALACTIC PATROL　レンズマン,6.25,8246.0,10994,fall,1984.0,"Action, Adventure, Sci-Fi"
2799,Hello! Sandybell,ハロー！サンディベル,7.06,3968.0,7613,spring,1981.0,"Adventure, Romance"
2800,Candy Candy,キャンディ・キャンディ,7.58,1578.0,4027,fall,1976.0,"Drama, Romance"
2805,Onegai! Samia Don,おねがい！サミアどん,6.92,4593.0,12275,spring,1985.0,"Comedy, Fantasy, Slice of Life"
2809,Fuusen Shoujo Temple-chan,風船少女テンプルちゃん,6.21,8401.0,14855,fall,1977.0,"Adventure, Comedy"
2814,Dondon Dommel to Ron,どんどんドメルとロン,6.62,6130.0,13133,spring,1988.0,Comedy
2815,Geragera Boes Monogatari,げらげらブース物語,6.98,4312.0,11736,spring,1987.0,Comedy
2816,Toushou Daimos,闘将ダイモス,7.17,3428.0,7799,spring,1978.0,"Adventure, Drama, Romance, Sci-Fi"
2823,Barbapapa,バーバパパ,6.25,8234.0,10227,fall,1974.0,"Comedy, Fantasy"
2825,Arabian Nights: Sindbad no Bouken (TV),アラビアンナイト シンドバットの冒険,7.2,3222.0,7224,fall,1975.0,"Adventure, Fantasy, Romance"
2826,Oz no Mahoutsukai (TV),オズの魔法使い,6.71,5643.0,10091,fall,1986.0,"Adventure, Fantasy"
2827,Calimero,カリメロ,6.24,8260.0,9150,fall,1974.0,Comedy
2828,Ie Naki Ko,家なき子,7.86,864.0,5321,fall,1977.0,"Adventure, Drama"
2835,Patalliro!,パタリロ！,7.26,2957.0,6763,spring,1982.0,"Adventure, Boys Love, Comedy"
2836,Chiisana Viking Vickie,小さなバイキングビッケ,6.67,5871.0,9362,spring,1974.0,"Adventure, Comedy"
2882,Anime Oyako Gekijou,アニメ 親子劇場,6.15,8695.0,10423,fall,1981.0,"Adventure, Fantasy, Sci-Fi"
2892,Hakushon Daimaou,ハクション大魔王,6.01,9489.0,10680,fall,1969.0,"Comedy, Fantasy"
2903,Sakigake!! Otokojuku,魁!!男塾,7.41,2236.0,5557,winter,1988.0,"Action, Comedy"
2912,Ohayou! Spank,おはよう！スパンク,6.68,5816.0,9889,spring,1981.0,"Comedy, Slice of Life"
2921,Ashita no Joe 2,あしたのジョー２,8.72,52.0,3060,fall,1980.0,"Drama, Sports"
2933,Mirai Keisatsu Urashiman,未来警察ウラシマン,6.82,5034.0,10022,winter,1983.0,"Action, Comedy, Sci-Fi"
2987,Ginga Hyouryuu Vifam,銀河漂流バイファム,7.17,3395.0,8534,fall,1983.0,"Action, Adventure, Sci-Fi"
3008,Time Bokan Series: Yatterman,タイムボカンシリーズ ヤッターマン,6.68,5775.0,8224,winter,1977.0,"Action, Adventure, Comedy"
